Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,163394,f,44,high,97,94,0.812,4,6,6,6,6,6,2,6,4,6,6,6,5,6,5,5,6,6
Need for Cognition,164322,f,19,low,71,73,0.149,3,4,6,4,4,5,5,2,3,5,4,4,3,4,4,4,3,4
Need for Cognition,164552,m,32,high,91,102,0.029,6,6,5,5,5,5,6,5,4,6,5,6,5,5,5,4,6,2
Need for Cognition,165443,f,53,high,95,99,5.957,5,6,5,6,6,5,4,5,3,6,6,5,6,6,5,5,5,6
Need for Cognition,165792,f,29,high,79,83,17.374,4,5,6,1,3,5,1,6,1,5,6,6,6,6,6,1,5,6
Need for Cognition,166415,f,20,low,100,101,0.095,6,6,6,6,6,5,6,6,5,6,6,5,5,6,6,3,5,6
Need for Cognition,166842,f,18,low,80,86,5.793,2,6,5,4,5,5,3,3,3,6,5,3,5,3,6,6,5,5
Need for Cognition,166988,f,21,low,56,60,0.009,3,3,3,3,3,3,3,2,3,4,4,4,2,3,4,3,2,4
Need for Cognition,167471,f,18,low,65,70,9.888,6,6,2,2,5,4,2,1,6,3,6,3,4,2,3,4,1,5
Need for Cognition,168942,f,30,high,76,83,33.592,6,5,4,6,5,2,2,5,1,4,6,6,4,6,5,3,4,2
Need for Cognition,170041,f,23,low,98,96,0.054,6,5,6,6,6,2,6,2,6,6,5,6,6,6,6,6,6,6
Need for Cognition,170408,f,54,high,103,105,0.025,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,4,5,6
Need for Cognition,170812,f,41,high,90,93,0.85,5,5,6,6,5,5,3,4,5,4,6,6,5,6,6,6,3,4
Need for Cognition,172101,f,30,high,82,86,0.011,5,4,5,5,5,2,4,5,4,4,5,5,3,5,5,4,6,6
Need for Cognition,172456,f,24,low,98,92,1.666,6,6,6,6,6,5,5,4,5,6,6,6,5,6,6,5,6,3
Need for Cognition,172585,m,24,low,81,84,0.007,5,5,5,5,5,5,4,3,5,5,5,5,5,5,3,5,2,4
Need for Cognition,172724,m,37,high,76,82,0.457,4,5,5,3,3,5,2,3,3,6,2,6,5,6,4,3,6,5
Need for Cognition,175440,m,40,high,85,81,0.73,3,3,6,6,5,4,4,3,5,6,5,6,3,5,6,4,6,5
Need for Cognition,175767,f,30,high,67,65,3.027,4,4,4,3,3,4,3,4,4,4,5,4,3,4,4,3,3,4
Need for Cognition,176076,f,35,high,64,68,1.661,3,3,6,4,5,2,6,2,2,2,2,5,2,5,3,2,5,5
Need for Cognition,176199,f,21,low,63,59,0.028,5,3,5,4,4,4,3,2,4,4,2,3,4,4,3,3,3,3
Need for Cognition,176367,m,20,low,80,93,2.009,4,6,5,6,5,3,4,6,2,6,5,6,3,6,6,2,1,4
